,4th Av,63rd St,6th Av - Culver,8th Av - Fulton St,Astoria,Broadway,Broadway - 7Av,Broadway - Brighton,Canarsie,Clark St,Concourse,Crosstown,Dyre Av,Eastern Pky,Flushing,Franklin Shuttle,Jamaica,Jerome Av,Lenox - White Plains Rd,Lexington - Shuttle,Lexington Av,Liberty Av,Manhattan Bridge,Myrtle Av,Nostrand,Pelham,Queens - Archer,Queens Blvd,Rockaway,Sea Beach,Sea Beach / West End / Culver / Brighton,Second Av,Staten Island,West End
4th Av,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,1,0,1,0,0
63rd St,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6th Av - Culver,1,0,0,3,0,0,2,6,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,5,0,0,0,3
8th Av - Fulton St,1,0,3,0,0,2,16,1,1,1,2,2,0,3,0,1,5,0,4,0,9,0,1,0,0,0,0,0,0,1,0,3,0,1
Astoria,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broadway,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Broadway - 7Av,1,0,2,16,0,2,0,3,0,0,1,0,0,0,1,0,2,0,2,1,7,0,1,0,0,0,0,0,0,1,0,3,0,2
Broadway - Brighton,1,0,6,1,0,0,3,0,2,0,0,0,0,1,1,0,0,0,0,1,3,0,0,0,1,0,0,1,0,2,0,0,0,0
Canarsie,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Clark St,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Concourse,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crosstown,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dyre Av,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Pky,1,0,1,3,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flushing,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Franklin Shuttle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,0,0,1,5,0,1,2,0,3,1,0,2,0,1,1,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0
Jerome Av,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lenox - White Plains Rd,1,0,0,4,0,0,2,0,0,0,1,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Lexington - Shuttle,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lexington Av,3,0,1,9,0,1,7,3,1,2,0,1,0,0,1,0,2,0,2,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0
Liberty Av,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manhattan Bridge,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Myrtle Av,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nostrand,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pelham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens - Archer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Queens Blvd,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockaway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sea Beach,1,0,5,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4
Sea Beach / West End / Culver / Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Second Av,1,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
Staten Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West End,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
