date,4th Av,63rd St,6th Av - Culver,8th Av - Fulton St,Astoria,Broadway,Broadway - 7Av,Broadway - Brighton,Canarsie,Clark St,Concourse,Crosstown,Dyre Av,Eastern Pky,Flushing,Franklin Shuttle,Jamaica,Jerome Av,Lenox - White Plains Rd,Lexington - Shuttle,Lexington Av,Liberty Av,Manhattan Bridge,Myrtle Av,Nostrand,Pelham,Queens - Archer,Queens Blvd,Rockaway,Sea Beach,Sea Beach / West End / Culver / Brighton,Second Av,Staten Island,West End
2020-07-01,374.0,201.0,761.0,1525.0,454.0,92.0,1509.0,828.0,928.0,128.0,547.0,351.0,358.0,673.0,1111.0,44.0,789.0,409.0,1156.0,59.0,983.0,122.0,4.0,167.0,253.0,1295.0,202.0,1285.0,569.0,137.0,126.0,207.0,1569.0,232.0
2020-08-01,375.0,201.0,762.0,1530.0,455.0,92.0,1517.0,832.0,935.0,130.0,550.0,354.0,360.0,678.0,1124.0,44.0,793.0,410.0,1163.0,59.0,986.0,122.0,4.0,172.0,257.0,1301.0,207.0,1301.0,569.0,137.0,126.0,207.0,1570.0,234.0
2020-09-01,380.0,201.0,775.0,1544.0,455.0,92.0,1518.0,836.0,942.0,132.0,551.0,362.0,360.0,692.0,1129.0,44.0,800.0,412.0,1164.0,60.0,986.0,127.0,4.0,173.0,262.0,1305.0,209.0,1305.0,571.0,140.0,126.0,207.0,1573.0,236.0
2020-10-01,380.0,201.0,780.0,1552.0,469.0,92.0,1523.0,836.0,948.0,132.0,554.0,364.0,361.0,696.0,1160.0,44.0,809.0,412.0,1172.0,60.0,990.0,127.0,4.0,175.0,263.0,1315.0,209.0,1339.0,584.0,140.0,127.0,210.0,1576.0,236.0
2020-11-01,386.0,202.0,784.0,1561.0,474.0,95.0,1525.0,846.0,955.0,132.0,555.0,367.0,361.0,706.0,1176.0,44.0,818.0,412.0,1179.0,60.0,990.0,128.0,4.0,181.0,264.0,1315.0,212.0,1353.0,584.0,141.0,128.0,210.0,1576.0,236.0
2020-12-01,408.0,202.0,805.0,1585.0,474.0,95.0,1525.0,881.0,981.0,134.0,555.0,390.0,361.0,732.0,1180.0,47.0,840.0,414.0,1182.0,60.0,990.0,133.0,4.0,184.0,283.0,1315.0,212.0,1358.0,584.0,141.0,132.0,210.0,1578.0,258.0
2021-01-01,408.0,202.0,805.0,1585.0,474.0,95.0,1525.0,881.0,981.0,134.0,555.0,390.0,361.0,732.0,1180.0,47.0,840.0,414.0,1183.0,60.0,990.0,133.0,4.0,184.0,283.0,1315.0,212.0,1359.0,584.0,141.0,132.0,210.0,1579.0,258.0
2021-02-01,408.0,202.0,807.0,1585.0,474.0,95.0,1526.0,881.0,981.0,135.0,555.0,390.0,361.0,735.0,1180.0,47.0,840.0,414.0,1184.0,60.0,990.0,133.0,4.0,184.0,283.0,1315.0,212.0,1364.0,584.0,141.0,132.0,210.0,1579.0,258.0
2021-03-01,408.0,202.0,808.0,1585.0,474.0,95.0,1526.0,881.0,981.0,135.0,555.0,391.0,361.0,735.0,1180.0,47.0,840.0,414.0,1184.0,60.0,991.0,133.0,4.0,184.0,283.0,1315.0,212.0,1364.0,584.0,141.0,135.0,210.0,1579.0,258.0
2021-04-01,409.0,202.0,808.0,1585.0,474.0,95.0,1526.0,881.0,981.0,135.0,555.0,391.0,361.0,739.0,1183.0,47.0,843.0,414.0,1184.0,60.0,991.0,133.0,4.0,195.0,283.0,1315.0,212.0,1374.0,584.0,141.0,135.0,210.0,1579.0,258.0
