date,4th Av,63rd St,6th Av - Culver,8th Av - Fulton St,Astoria,Broadway,Broadway - 7Av,Broadway - Brighton,Canarsie,Clark St,Concourse,Crosstown,Dyre Av,Eastern Pky,Flushing,Franklin Shuttle,Jamaica,Jerome Av,Lenox - White Plains Rd,Lexington - Shuttle,Lexington Av,Liberty Av,Manhattan Bridge,Myrtle Av,Nostrand,Pelham,Queens - Archer,Queens Blvd,Rockaway,Sea Beach,Sea Beach / West End / Culver / Brighton,Second Av,Staten Island,West End
2020-07-01,290.0,158.0,576.0,1144.0,301.0,67.0,1085.0,541.0,706.0,95.0,389.0,255.0,241.0,547.0,759.0,26.0,603.0,276.0,869.0,54.0,771.0,97.0,3.0,122.0,185.0,904.0,168.0,991.0,380.0,93.0,92.0,166.0,1113.0,177.0
2020-08-01,301.0,162.0,592.0,1168.0,308.0,68.0,1120.0,550.0,728.0,102.0,402.0,262.0,250.0,556.0,789.0,26.0,621.0,295.0,915.0,54.0,777.0,100.0,3.0,132.0,189.0,938.0,178.0,1022.0,394.0,97.0,92.0,169.0,1173.0,186.0
2020-09-01,305.0,163.0,601.0,1208.0,310.0,71.0,1136.0,570.0,737.0,103.0,410.0,266.0,250.0,566.0,818.0,26.0,625.0,315.0,935.0,55.0,783.0,107.0,3.0,138.0,192.0,959.0,182.0,1051.0,416.0,100.0,93.0,170.0,1200.0,191.0
2020-10-01,306.0,166.0,614.0,1247.0,310.0,71.0,1150.0,575.0,758.0,105.0,424.0,277.0,250.0,589.0,838.0,27.0,654.0,323.0,964.0,55.0,806.0,107.0,3.0,142.0,196.0,973.0,183.0,1081.0,430.0,101.0,94.0,171.0,1214.0,192.0
2020-11-01,312.0,166.0,630.0,1263.0,332.0,71.0,1163.0,577.0,777.0,105.0,431.0,284.0,251.0,600.0,870.0,27.0,663.0,332.0,980.0,55.0,806.0,111.0,3.0,148.0,202.0,1022.0,188.0,1111.0,432.0,105.0,95.0,173.0,1216.0,192.0
2020-12-01,331.0,166.0,641.0,1282.0,333.0,71.0,1165.0,613.0,800.0,106.0,432.0,309.0,251.0,622.0,884.0,28.0,680.0,334.0,983.0,55.0,810.0,114.0,3.0,153.0,213.0,1033.0,188.0,1123.0,433.0,106.0,97.0,175.0,1221.0,208.0
2021-01-01,333.0,169.0,646.0,1293.0,393.0,71.0,1187.0,617.0,805.0,109.0,436.0,312.0,261.0,623.0,901.0,28.0,684.0,335.0,988.0,56.0,822.0,115.0,3.0,154.0,215.0,1058.0,189.0,1128.0,436.0,107.0,99.0,180.0,1239.0,210.0
2021-02-01,337.0,169.0,649.0,1299.0,397.0,71.0,1200.0,629.0,806.0,116.0,437.0,316.0,264.0,633.0,906.0,28.0,689.0,340.0,1002.0,56.0,829.0,115.0,3.0,154.0,215.0,1060.0,190.0,1133.0,438.0,107.0,99.0,181.0,1245.0,214.0
2021-03-01,346.0,174.0,652.0,1323.0,400.0,72.0,1247.0,641.0,812.0,116.0,440.0,321.0,264.0,636.0,926.0,28.0,706.0,341.0,1012.0,56.0,863.0,117.0,3.0,154.0,220.0,1063.0,191.0,1142.0,450.0,109.0,100.0,185.0,1258.0,216.0
2021-04-01,347.0,175.0,656.0,1332.0,401.0,74.0,1257.0,642.0,815.0,117.0,444.0,321.0,266.0,641.0,931.0,28.0,709.0,342.0,1016.0,56.0,868.0,117.0,3.0,168.0,222.0,1067.0,191.0,1154.0,456.0,109.0,102.0,186.0,1261.0,217.0
2021-05-01,348.0,175.0,667.0,1337.0,402.0,75.0,1269.0,642.0,816.0,118.0,445.0,322.0,268.0,649.0,950.0,28.0,712.0,343.0,1019.0,56.0,870.0,117.0,3.0,169.0,223.0,1085.0,191.0,1163.0,461.0,109.0,102.0,188.0,1279.0,219.0
2021-06-01,350.0,175.0,672.0,1343.0,404.0,77.0,1297.0,645.0,816.0,118.0,452.0,325.0,324.0,650.0,961.0,28.0,717.0,351.0,1031.0,56.0,872.0,117.0,3.0,169.0,224.0,1124.0,191.0,1168.0,468.0,109.0,103.0,189.0,1291.0,219.0
2021-07-01,350.0,175.0,672.0,1345.0,404.0,77.0,1324.0,645.0,816.0,118.0,452.0,325.0,324.0,650.0,961.0,29.0,718.0,351.0,1032.0,56.0,874.0,117.0,3.0,169.0,224.0,1125.0,191.0,1169.0,468.0,109.0,103.0,189.0,1299.0,220.0
2021-08-01,350.0,175.0,673.0,1347.0,404.0,78.0,1325.0,645.0,816.0,118.0,452.0,326.0,324.0,650.0,961.0,29.0,719.0,351.0,1033.0,56.0,874.0,121.0,3.0,170.0,224.0,1125.0,191.0,1169.0,471.0,109.0,103.0,189.0,1299.0,221.0
