,4th Av,63rd St,6th Av - Culver,8th Av - Fulton St,Astoria,Broadway,Broadway - 7Av,Broadway - Brighton,Canarsie,Clark St,Concourse,Crosstown,Dyre Av,Eastern Pky,Flushing,Franklin Shuttle,Jamaica,Jerome Av,Lenox - White Plains Rd,Lexington Av,Liberty Av,Myrtle Av,Nostrand,Pelham,Queens - Archer,Queens Blvd,Rockaway,Sea Beach,Sea Beach / West End / Culver / Brighton,Second Av,Staten Island,West End
2020-07-01,1010704.0,248173.0,1722732.0,3190406.0,802878.0,953387.0,2412064.0,3603183.0,1447020.0,97035.0,868853.0,375506.0,151112.0,763034.0,2068081.0,138093.0,1531673.0,902910.0,1312141.0,2291838.0,276884.0,367917.0,430710.0,907311.0,492582.0,2493682.0,198953.0,335173.0,158251.0,444584.0,68955.0,472909.0
2020-08-01,1091415.0,273183.0,1876455.0,3522208.0,882330.0,1095004.0,2680661.0,4011255.0,1621434.0,114497.0,895350.0,417564.0,147377.0,786467.0,2229838.0,154035.0,1650407.0,892444.0,1392995.0,2331761.0,290166.0,393075.0,443305.0,925874.0,528863.0,2746401.0,194828.0,370553.0,152607.0,512860.0,71128.0,500973.0
2020-09-01,1337997.0,327609.0,2245265.0,4249098.0,1078270.0,1304558.0,3388427.0,4787093.0,1933681.0,136894.0,1058759.0,520371.0,177734.0,949357.0,2732687.0,193455.0,2066001.0,1081490.0,1764315.0,3010328.0,339412.0,467377.0,525709.0,1106637.0,565751.0,3345346.0,216842.0,459027.0,164359.0,598292.0,83930.0,614574.0
2020-10-01,1527404.0,371198.0,2585606.0,4800673.0,1238526.0,1459196.0,3897353.0,5319624.0,2306736.0,156812.0,1159337.0,596615.0,201147.0,1045529.0,3053801.0,211564.0,2312271.0,1219319.0,1969282.0,3492825.0,374349.0,535416.0,600983.0,1247700.0,462948.0,3791741.0,220630.0,458512.0,155685.0,697188.0,94245.0,640845.0
2020-11-01,1403974.0,331397.0,2380771.0,4324421.0,1117780.0,1258809.0,3514781.0,4882736.0,2062532.0,133875.0,1075080.0,557863.0,178921.0,957156.0,2818279.0,190937.0,2065684.0,1150710.0,1733365.0,3136140.0,342053.0,472451.0,557450.0,1130354.0,571333.0,3395939.0,201052.0,450086.0,143899.0,620763.0,78580.0,615834.0
2020-12-01,1444464.0,331438.0,2513551.0,4247844.0,1137884.0,1256261.0,3376894.0,4977303.0,1996308.0,125293.0,1097477.0,554037.0,174790.0,959845.0,2854090.0,187966.0,2018732.0,1148205.0,1765134.0,3125456.0,341950.0,475045.0,576443.0,1134277.0,606448.0,3371062.0,197960.0,438792.0,143113.0,624175.0,78904.0,630732.0
2021-01-01,1351282.0,317524.0,2201428.0,4223997.0,1045077.0,1187734.0,2952336.0,4606798.0,1965918.0,123066.0,1031082.0,536689.0,178799.0,906904.0,2598505.0,182052.0,1963872.0,1092514.0,1716326.0,2992495.0,319994.0,461609.0,543993.0,1078362.0,590144.0,3189537.0,195167.0,429219.0,136861.0,609148.0,77815.0,594800.0
2021-02-01,1307730.0,292318.0,2107701.0,4040085.0,1002772.0,1140314.0,2903635.0,4337565.0,1874348.0,122527.0,956648.0,520034.0,166084.0,870134.0,2449643.0,175962.0,1876961.0,1025990.0,1601819.0,2910859.0,293095.0,440817.0,527136.0,1003747.0,550515.0,3056281.0,168997.0,432703.0,123180.0,569340.0,72985.0,508992.0
2021-03-01,1631580.0,379217.0,2728834.0,5279134.0,1278172.0,1519550.0,3771387.0,5719870.0,2476599.0,164347.0,1226316.0,678191.0,220263.0,1101856.0,3195198.0,221260.0,2434438.0,1309224.0,2051036.0,3783207.0,377412.0,557156.0,663198.0,1279575.0,710996.0,3884402.0,213494.0,528337.0,163279.0,736378.0,87080.0,693786.0
2021-04-01,1688677.0,389416.0,2894741.0,5580901.0,1314599.0,1633095.0,4088137.0,6078469.0,2701655.0,177193.0,1255814.0,721892.0,224262.0,1144243.0,3354698.0,236447.0,2512436.0,1314921.0,2095460.0,3945740.0,376836.0,566737.0,662616.0,1313801.0,719722.0,3984003.0,231444.0,532171.0,177429.0,781863.0,93765.0,699206.0
