,E Week13,"Cumulative first13Week",,,,
,2022,Median,2023,2022,Median,
,,,2018 -2022,2018 -2022,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,1,1,14,3,10
Acute Hepatitis E,0,1,1,19,6,14
Campylobacteriosis,6,17,7,111,201,112
Cholera,0,0,0,0,3,1
Paratyphoid,0,0,0,5,3,4
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,27,36,32,277,294,333
Typhoid,0,3,0,19,14,14
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,4,0,1
Dengue Fever,110,510,113,2362,3330,2198
Dengue Haemorrhagic Fever,0,0,0,2,7,7
Japanese Encephalitis^,0,0,0,0,0,3
Leptospirosis^,2,0,1,18,6,6
Malaria,0,0,0,3,2,6
Murine Typhus^,0,0,0,2,4,3
Nipah virus infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,0,0,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzaetype b,0,0,0,0,0,0
Legionellosis,0,0,0,7,4,2
Measles,0,0,1,3,0,10
Melioidosis,2,0,0,11,11,11
Meningococcal Disease,0,0,0,1,1,2
Mpox,0,0,NA,3,0,NA
Mumps,5,1,7,45,25,90
Pertussis,0,0,0,2,0,8
Pneumococcal Disease (invasive),4,1,1,35,9,28
Rubella,0,0,0,0,0,0
Severe acute respiratory syndrome,0,0,0,0,0,0
Tetanus^,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute hepatitis B,0,1,1,7,9,13
Acute hepatitis C,0,1,0,2,5,5
Botulism^,0,0,0,0,0,0
MERS-CoV,,,,,,
Suspect cases tested,0,0,NA,110,1,NA
Other patients tested,6,0,NA,55,1,NA
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute upper respiratory infections,2826,1497,2592,,,
Acute conjunctivitis,87,36,50,,,
Acute Diarrhoea,367,328,354,,,
Chickenpox,6,3,6,,,
"Hand, Foot And Mouth Disease",22,4,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,FEB,,Cumulative 2023,,
HIV/AIDS,20,,33,,,
Legally Notifiable STIs*,380,,652,,,
Tuberculosis,107,,213,,,
