,E Week23,,"Cumulative first23Week",,,
,2022,Median,,2022,Median,
,,2018 -2022,,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,0,0,18,5,5
Acute Hepatitis E,0,0,1,28,11,24
Campylobacteriosis,7,22,14,191,377,207
Cholera,0,0,0,0,7,1
Paratyphoid,0,0,0,7,5,6
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,25,44,41,536,628,689
Typhoid,2,0,0,25,33,26
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,2,1,5,7,7
Dengue Fever,163,1459,396,3593,14551,4679
Dengue Haemorrhagic Fever,0,1,0,2,26,23
Japanese Encephalitis^,0,0,0,0,0,4
Leptospirosis^,2,0,0,27,21,14
Malaria,1,0,0,7,7,7
Murine Typhus^,0,0,0,4,5,4
Nipah virus infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,1,0,0,19,0,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzaetype b,0,1,0,0,1,1
Legionellosis,0,0,0,9,10,7
Measles,1,1,1,6,1,10
Melioidosis,0,1,1,16,14,14
Meningococcal Disease,0,0,0,1,1,2
Mpox,0,0,NA,6,0,NA
Mumps,2,0,6,80,46,129
Pertussis,1,0,0,7,0,11
Pneumococcal Disease (invasive),1,0,0,57,18,34
Rubella,0,0,0,0,0,0
Severe acute respiratory syndrome,0,0,0,0,0,0
Tetanus^,0,0,0,1,0,0
OTHER DISEASES,,,,,,
Acute hepatitis B,0,0,0,18,15,19
Acute hepatitis C,0,1,0,8,11,8
Botulism^,0,0,0,0,0,0
MERS-CoV,,,,,,
Suspect cases tested,0,0,NA,131,1,NA
Other patients tested,0,0,NA,69,4,NA
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute upper respiratory infections,1913,1744,1744,,,
Acute conjunctivitis,50,32,33,,,
Acute Diarrhoea,294,362,362,,,
Chickenpox,4,4,4,,,
"Hand, Foot And Mouth Disease",24,14,NA,,NA,
HIV/STI/TB NOTIFICATIONS,2023,MAY,,Cumulative 2023,,
HIV/AIDS,23,,,,,
Legally Notifiable STIs*,335,,,,,
Tuberculosis,107,,,,,
