"",E Week47,"Cumulative first47Week",,,,
"",2024,2023,Median,2024,2023,Median
"",,2019 -2023,2019 -2023,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,1,1,50,41,25
Acute Hepatitis E,1,2,2,33,50,47
Campylobacteriosis,11,9,11,429,389,439
Cholera,1,0,0,5,0,2
Paratyphoid,1,0,0,16,8,10
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,20,28,28,1300,1144,1254
Typhoid,2,0,0,48,53,53
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,14,13,13
Dengue Fever,110,171,258,13124,8895,14562
Dengue Haemorrhagic Fever,1,0,0,44,8,43
Japanese Encephalitis,0,0,0,1,0,0
Leptospirosis,1,0,1,56,56,31
Malaria,2,0,0,25,20,13
Murine Typhus,2,1,0,68,21,8
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,1,0,0,13,27,4
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,1,1
Legionellosis,1,3,0,31,23,20
Measles,1,0,0,11,6,6
Melioidosis,3,0,2,51,38,36
Meningococcal Disease,0,0,0,3,3,3
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,16,28,NA
Mumps,4,5,5,220,161,179
Pertussis,4,1,0,98,17,11
Pneumococcal Disease (Invasive),3,1,2,109,124,52
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,2,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,1,45,28,28
Acute Hepatitis C,0,0,0,12,8,16
Botulism,0,0,0,0,1,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2369,2663,2111,,,NA
Acute Conjunctivitis,76,60,54,,,NA
Acute Diarrhoea,376,302,302,,,NA
Chickenpox,4,4,5,,,NA
"Hand, Foot And Mouth Disease",22,14,14,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Oct,,Cumulative 2024,,
HIV/AIDS,10,,124,,,
Legally Notifiable STIs,282,,2863,,,
Tuberculosis,104,,959,,,
