"",E Week,24,,Cumulative first,24,Week
"",2025,2024,Median,2025,2024,Median
"",2020 -2024,2020 -2024,,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,1,0,41,17,15
Acute Hepatitis E,1,1,1,28,18,24
Campylobacteriosis,9,14,9,258,224,223
Cholera,0,0,0,2,0,0
Paratyphoid,0,0,0,10,13,7
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,34,27,32,569,657,602
Typhoid,0,2,2,24,26,26
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,2,0,0,12,5,5
Dengue Fever,125,303,303,2367,8637,8637
Dengue Haemorrhagic Fever,1,0,0,12,31,25
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,1,0,1,34,22,22
Malaria,3,1,0,15,10,7
Murine Typhus,0,1,0,51,29,4
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,1,0,0,7,7,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,2,2,0,21,12,9
Measles,1,0,0,12,8,6
Melioidosis,1,0,0,28,26,19
Meningococcal Disease,0,0,0,4,1,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
Mpox,1,1,NA,8,9,NA
Mumps,4,8,5,113,127,94
Pertussis,1,2,0,48,45,9
Pneumococcal Disease (Invasive),2,2,0,64,60,34
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,1,1,16,18,18
Acute Hepatitis C,1,0,0,17,7,7
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2154,2178,1806,,,NA
Acute Conjunctivitis,84,67,40,,,NA
Acute Diarrhoea,382,390,295,,,NA
Chickenpox,5,5,4,,,NA
"Hand, Foot And Mouth Disease",29,25,15,,,NA
HIV/STI/TB NOTIFICATIONS,2025,May,,Cumulative 2025,,
HIV/AIDS,9,,62,,,
Legally Notifiable STIs,318,,1399,,,
Tuberculosis,85,,411,,,
