"",E Week4,"Cumulative first4Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,,2020 -2024,2020 -2024,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,3,0,0,9,3,3
Acute Hepatitis E,0,0,1,3,5,5
Campylobacteriosis,16,8,10,47,40,42
Cholera,0,0,0,2,0,0
Paratyphoid,0,2,0,2,3,2
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,19,20,20,91,89,91
Typhoid,1,0,1,6,3,5
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,1,0,0
Dengue Fever,117,428,186,431,1536,1015
Dengue Haemorrhagic Fever,1,2,2,2,2,2
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,1,4,2,4,10,5
Malaria,0,0,0,6,4,1
Murine Typhus,2,0,0,16,2,1
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,2,1,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,1,0,1,4,1
Measles,1,1,0,2,1,1
Melioidosis,1,0,1,6,3,3
Meningococcal Disease,0,0,1,0,0,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,1,0,NA
Mumps,4,5,5,19,23,21
Pertussis,4,2,0,14,7,2
Pneumococcal Disease (Invasive),4,2,2,18,11,10
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,0,1,4,3,2
Acute Hepatitis C,1,1,0,3,2,2
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,3045,2654,2654,,,NA
Acute Conjunctivitis,97,81,66,,,NA
Acute Diarrhoea,435,381,381,,,NA
Chickenpox,6,7,5,,,NA
"Hand, Foot And Mouth Disease",24,24,14,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Dec,,Cumulative 2024,,
HIV/AIDS,8,,137,,,
Legally Notifiable STIs,289,,3440,,,
Tuberculosis,108,,1162,,,
