,E Week5,,"Cumulative first5Week",,,
,2025,2024,Median,2025,2024,Median
,,,2020 -2024,2020 -2024,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,4,1,0,13,4,4
Acute Hepatitis E,0,0,1,3,5,5
Campylobacteriosis,13,12,11,58,52,52
Cholera,0,0,0,2,0,0
Paratyphoid,1,1,0,3,4,2
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,10,26,16,99,115,108
Typhoid,0,2,2,6,5,8
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,1,0,0
Dengue Fever,54,485,223,485,2021,1238
Dengue Haemorrhagic Fever,0,1,0,2,3,3
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,3,0,0,7,10,5
Malaria,0,0,0,6,4,2
Murine Typhus,0,1,0,16,3,1
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,2,1,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,2,0,1,3,4,2
Measles,0,0,0,2,1,1
Melioidosis,1,1,1,7,4,4
Meningococcal Disease,0,0,0,0,0,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",1,0,NA,2,0,NA
Mumps,3,3,4,22,26,25
Pertussis,1,0,0,15,7,2
Pneumococcal Disease (Invasive),1,5,4,18,16,16
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,2,1,5,5,3
Acute Hepatitis C,0,0,0,6,2,2
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,3392,2660,2795,,,NA
Acute Conjunctivitis,131,74,71,,,NA
Acute Diarrhoea,453,356,363,,,NA
Chickenpox,9,10,5,,,NA
"Hand, Foot And Mouth Disease",37,26,25,,NA,
HIV/STI/TB NOTIFICATIONS,2025,Jan,,Cumulative 2025,,
HIV/AIDS,8,,,,,
Legally Notifiable STIs,260,,,,,
Tuberculosis,75,,,,,
