"",E Week7,"Cumulative first7Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,2020 -2024,2020 -2024,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,1,0,16,7,5
Acute Hepatitis E,1,1,1,4,7,8
Campylobacteriosis,11,7,12,80,66,66
Cholera,0,0,0,2,0,0
Paratyphoid,1,0,0,4,5,2
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,25,26,22,160,158,158
Typhoid,0,1,0,6,6,8
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,1,0,0,2,0,0
Dengue Fever,114,426,206,710,2961,1604
Dengue Haemorrhagic Fever,0,4,0,3,8,6
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,2,2,1,11,15,6
Malaria,0,0,0,6,4,2
Murine Typhus,0,2,0,16,6,2
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,2,3,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,1,0,0,5,4,3
Measles,0,0,0,2,1,1
Melioidosis,1,0,1,9,4,6
Meningococcal Disease,0,0,0,1,0,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",1,1,NA,3,2,NA
Mumps,2,5,5,28,39,35
Pertussis,3,1,0,19,11,2
Pneumococcal Disease (Invasive),4,0,1,25,16,16
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,1,6,6,5
Acute Hepatitis C,1,0,0,7,2,2
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,3046,2566,2590,,,NA
Acute Conjunctivitis,119,76,66,,,NA
Acute Diarrhoea,442,377,376,,,NA
Chickenpox,7,9,6,,,NA
"Hand, Foot And Mouth Disease",33,32,11,,NA,
HIV/STI/TB NOTIFICATIONS,2025,Jan,,Cumulative 2025,,
HIV/AIDS,8,,8,,,
Legally Notifiable STIs,260,,260,,,
Tuberculosis,75,,75,,,
