"",E Week13,"Cumulative first13Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,2020 -2024,2020 -2024,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,0,0,0,21,10,10
Acute Hepatitis E,3,0,0,12,8,14
Campylobacteriosis,15,9,7,142,118,118
Cholera,2,0,0,4,0,0
Paratyphoid,0,0,0,7,5,5
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,29,18,27,293,275,277
Typhoid,1,2,0,14,13,14
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,4,2,2
Dengue Fever,97,347,347,1218,5148,3330
Dengue Haemorrhagic Fever,0,2,0,3,18,7
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,0,1,17,17,10
Malaria,1,0,0,10,5,3
Murine Typhus,1,2,0,35,11,3
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,4,4,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,0,0,10,7,5
Measles,1,0,0,7,2,2
Melioidosis,0,0,0,13,5,10
Meningococcal Disease,0,0,0,2,0,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,1,NA,4,7,NA
Mumps,8,5,5,62,65,48
Pertussis,3,1,0,30,23,2
Pneumococcal Disease (Invasive),2,5,1,37,37,28
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,0,0,10,8,8
Acute Hepatitis C,0,0,0,12,4,4
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2424,2238,2238,,,NA
Acute Conjunctivitis,114,90,50,,,NA
Acute Diarrhoea,484,373,354,,,NA
Chickenpox,5,6,6,,,NA
"Hand, Foot And Mouth Disease",39,27,4,,NA,
HIV/STI/TB NOTIFICATIONS,2025,Feb,,Cumulative 2025,,
HIV/AIDS,18,,26,,,
Legally Notifiable STIs,306,,566,,,
Tuberculosis,88,,162,,,
