,E Week,33,,Cumulative first,33,Week
,2025*,2024,Median,2025*,2024,Median
,,,2020 -2024,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,1,1,55,31,19
Acute Hepatitis E,2,0,0,39,26,28
Campylobacteriosis,12,8,8,357,306,319
Cholera,0,0,0,2,2,0
Paratyphoid,0,0,0,11,14,8
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,32,41,31,815,979,882
Typhoid,2,2,1,36,35,35
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,1,1,0,21,10,10
Dengue Fever,62,215,215,3169,11094,11094
Dengue Haemorrhagic Fever,0,1,0,14,35,32
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,1,1,46,31,31
Malaria,0,0,0,23,14,10
Murine Typhus,1,4,0,61,49,7
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,11,9,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,1,0,31,21,11
Measles,0,0,0,16,8,6
Melioidosis,3,0,0,37,36,24
Meningococcal Disease,0,0,0,4,1,2
Middle East Respiratory Syndrome^,0,0,0,0,0,0
Mpox,0,1,NA,12,13,NA
Mumps,1,3,3,144,162,124
Pertussis,3,3,0,71,69,11
Pneumococcal Disease (Invasive),1,2,2,87,75,37
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,1,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,1,1,17,30,22
Acute Hepatitis C,0,0,0,17,9,9
Botulism,0,0,0,0,0,0
,,,,,,
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2353,2285,2285,,,NA
Acute Conjunctivitis,88,81,46,,,NA
Acute Diarrhoea,463,467,362,,,NA
Chickenpox,6,6,4,,,NA
"Hand, Foot And Mouth Disease",19,33,16,,,NA
HIV/STI/TB NOTIFICATIONS,2025,Jul,,Cumulative 2025,,
HIV/AIDS,16,,88,,,
Legally Notifiable STIs,411,,2176,,,
Tuberculosis,101,,613,,,
