,Disease,Disease Type,Year,Week,Current Year,Previous Year,Median Previous 5 Years,Cumulative Current Year,Cumulative Previous Year,Cumulative Median Previous 5 Years
0,Acute Hepatitis A,FOOD/WATER-BORNE DISEASES,2023,1,0,0,1,0,0,1
1,Acute Hepatitis E,FOOD/WATER-BORNE DISEASES,2023,1,0,3,1,0,3,1
2,Campylobacteriosis,FOOD/WATER-BORNE DISEASES,2023,1,10,0,14,10,0,14
3,Cholera,FOOD/WATER-BORNE DISEASES,2023,1,0,0,0,0,0,0
4,Paratyphoid,FOOD/WATER-BORNE DISEASES,2023,1,1,0,0,1,0,0
5,Poliomyelitis,FOOD/WATER-BORNE DISEASES,2023,1,0,0,0,0,0,0
6,Salmonellosis,FOOD/WATER-BORNE DISEASES,2023,1,13,0,24,13,0,24
7,Typhoid,FOOD/WATER-BORNE DISEASES,2023,1,1,1,1,1,1,1
8,Chikungunya Fever,VECTOR-BORNE DISEASES,2023,1,1,0,0,1,0,0
9,Dengue Fever,VECTOR-BORNE DISEASES,2023,1,284,106,194,284,106,194
10,Dengue Haemorrhagic Fever,VECTOR-BORNE DISEASES,2023,1,0,0,0,0,0,0
11,Japanese Encephalitis^,VECTOR-BORNE DISEASES,2023,1,0,0,0,0,0,0
12,Leptospirosis^,VECTOR-BORNE DISEASES,2023,1,2,1,0,2,1,0
13,Malaria,VECTOR-BORNE DISEASES,2023,1,0,0,1,0,0,1
14,Murine Typhus^,VECTOR-BORNE DISEASES,2023,1,0,0,0,0,0,0
15,Nipah virus infection,VECTOR-BORNE DISEASES,2023,1,0,0,0,0,0,0
16,Plague,VECTOR-BORNE DISEASES,2023,1,0,0,0,0,0,0
17,Yellow Fever,VECTOR-BORNE DISEASES,2023,1,0,0,0,0,0,0
18,Zika Virus Infection,VECTOR-BORNE DISEASES,2023,1,0,0,0,0,0,0
19,Avian Influenza,AIR/DROPLET-BORNE DISEASES,2023,1,0,0,0,0,0,0
20,Diphtheria,AIR/DROPLET-BORNE DISEASES,2023,1,0,0,0,0,0,0
21,Ebola Virus Disease,AIR/DROPLET-BORNE DISEASES,2023,1,0,0,0,0,0,0
22,Haemophilus influenzae  type b,AIR/DROPLET-BORNE DISEASES,2023,1,0,0,0,0,0,0
23,Legionellosis,AIR/DROPLET-BORNE DISEASES,2023,1,0,0,0,0,0,0
24,Measles,AIR/DROPLET-BORNE DISEASES,2023,1,1,0,0,1,0,0
25,Melioidosis,AIR/DROPLET-BORNE DISEASES,2023,1,0,1,1,0,1,1
26,Meningococcal Disease,AIR/DROPLET-BORNE DISEASES,2023,1,0,0,0,0,0,0
27,Monkeypox,AIR/DROPLET-BORNE DISEASES,2023,1,2,0,,2,0,
28,Mumps,AIR/DROPLET-BORNE DISEASES,2023,1,2,0,5,2,0,5
29,Pertussis,AIR/DROPLET-BORNE DISEASES,2023,1,1,0,1,1,0,1
30,Pneumococcal Disease (invasive),AIR/DROPLET-BORNE DISEASES,2023,1,2,1,1,2,1,1
31,Rubella,AIR/DROPLET-BORNE DISEASES,2023,1,0,0,0,0,0,0
32,Severe acute respiratory syndrome,AIR/DROPLET-BORNE DISEASES,2023,1,0,0,0,0,0,0
33,Tetanus^,AIR/DROPLET-BORNE DISEASES,2023,1,0,0,0,0,0,0
34,Acute hepatitis B,OTHER DISEASES,2023,1,0,0,1,0,0,1
35,Acute hepatitis C,OTHER DISEASES,2023,1,0,2,0,0,2,0
36,Botulism^,OTHER DISEASES,2023,1,0,2,0,0,2,0
37,Suspect cases tested,MERS-CoV,2023,1,19,0,,19,0,
38,Other patients tested,MERS-CoV,2023,1,9,0,,9,0,
39,Acute Hepatitis A,FOOD/WATER-BORNE DISEASES,2023,2,1,1,1,1,1,2
40,Acute Hepatitis E,FOOD/WATER-BORNE DISEASES,2023,2,4,0,0,4,3,1
41,Campylobacteriosis,FOOD/WATER-BORNE DISEASES,2023,2,7,0,9,17,0,24
42,Cholera,FOOD/WATER-BORNE DISEASES,2023,2,0,0,0,0,0,0
43,Paratyphoid,FOOD/WATER-BORNE DISEASES,2023,2,1,0,1,2,0,1
44,Poliomyelitis,FOOD/WATER-BORNE DISEASES,2023,2,0,0,0,0,0,0
45,Salmonellosis,FOOD/WATER-BORNE DISEASES,2023,2,18,0,28,31,0,57
46,Typhoid,FOOD/WATER-BORNE DISEASES,2023,2,3,1,1,4,2,2
47,Chikungunya Fever,VECTOR-BORNE DISEASES,2023,2,0,0,0,1,0,0
48,Dengue Fever,VECTOR-BORNE DISEASES,2023,2,279,146,165,560,252,359
49,Dengue Haemorrhagic Fever,VECTOR-BORNE DISEASES,2023,2,0,0,0,0,0,1
50,Japanese Encephalitis^,VECTOR-BORNE DISEASES,2023,2,0,0,0,0,0,1
51,Leptospirosis^,VECTOR-BORNE DISEASES,2023,2,2,0,0,4,1,0
52,Malaria,VECTOR-BORNE DISEASES,2023,2,0,0,0,0,0,1
53,Murine Typhus^,VECTOR-BORNE DISEASES,2023,2,0,0,0,0,0,1
54,Nipah virus infection,VECTOR-BORNE DISEASES,2023,2,0,0,0,0,0,0
55,Plague,VECTOR-BORNE DISEASES,2023,2,0,0,0,0,0,0
56,Yellow Fever,VECTOR-BORNE DISEASES,2023,2,0,0,0,0,0,0
57,Zika Virus Infection,VECTOR-BORNE DISEASES,2023,2,0,0,0,0,0,0
58,Avian Influenza,AIR/DROPLET-BORNE DISEASES,2023,2,0,0,0,0,0,0
59,Diphtheria,AIR/DROPLET-BORNE DISEASES,2023,2,0,0,0,0,0,0
60,Ebola Virus Disease,AIR/DROPLET-BORNE DISEASES,2023,2,0,0,0,0,0,0
61,Haemophilus influenzae  type b,AIR/DROPLET-BORNE DISEASES,2023,2,0,0,0,0,0,0
62,Legionellosis,AIR/DROPLET-BORNE DISEASES,2023,2,0,1,0,0,1,0
63,Measles,AIR/DROPLET-BORNE DISEASES,2023,2,1,0,1,2,0,1
64,Melioidosis,AIR/DROPLET-BORNE DISEASES,2023,2,0,0,1,0,1,1
65,Meningococcal Disease,AIR/DROPLET-BORNE DISEASES,2023,2,0,0,0,0,0,0
66,Monkeypox,AIR/DROPLET-BORNE DISEASES,2023,2,0,0,,2,0,
67,Mumps,AIR/DROPLET-BORNE DISEASES,2023,2,6,1,11,8,1,18
