Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2025,4,1,     0.0,     0.0,     0.0,     0.0,    28.1,    32.8,    25.1,    10.6,-
Changi,2025,4,2,    41.0,    22.4,    33.8,    34.8,    27.5,    31.8,    23.1,     9.1,-
Changi,2025,4,3,     0.0,     0.0,    16.2,    34.8,    28.1,    32.4,    24.8,    11.4,-
Changi,2025,4,4,    16.6,    10.4,    10.8,    10.8,    26.9,    30.7,    24.4,     8.0,-
Changi,2025,4,5,     3.4,     3.2,     3.2,     3.2,    27.7,    32.2,    24.9,     8.7,-
Changi,2025,4,6,     0.6,     0.6,     0.6,     0.6,    28.6,    32.7,    25.9,    12.3,-
Changi,2025,4,7,    16.0,    11.8,    14.0,    16.0,    26.5,    29.4,    23.6,     9.0,-
Changi,2025,4,8,     2.2,     1.2,     2.0,     2.2,    27.0,    29.4,    25.5,     8.3,-
Changi,2025,4,9,     7.2,     6.6,     7.2,     7.2,    27.7,    32.6,    25.5,     8.3,-
Changi,2025,4,10,     0.0,     0.0,     0.0,     0.0,    28.2,    32.7,    25.5,     7.6,-
Changi,2025,4,11,    27.6,    18.2,    23.2,    27.2,    28.0,    32.3,    24.6,     8.7,-
Changi,2025,4,12,     0.0,     0.0,     0.0,     0.0,    29.6,    35.3,    26.7,     8.3,-
Changi,2025,4,13,    13.6,     8.0,    10.4,    12.0,    26.9,    31.5,    23.5,     5.6,-
Changi,2025,4,14,     0.0,     0.0,     0.0,     0.0,    28.4,    32.7,    25.5,    10.3,    31.5
Changi,2025,4,15,     0.2,     0.2,     0.2,     0.2,    28.5,    33.1,    26.6,     7.7,    31.5
Changi,2025,4,16,     5.8,     5.6,     5.6,     5.6,    27.8,    32.9,    24.9,     9.6,    33.3
Changi,2025,4,17,    12.2,     4.6,     7.2,    10.6,    27.5,    33.1,    23.5,     9.2,    35.2
Changi,2025,4,18,     3.2,     1.8,     2.8,     3.0,    28.1,    33.4,    25.8,     9.0,    33.3
Changi,2025,4,19,    24.0,    16.4,    22.8,    24.0,    28.0,    32.3,    25.3,     7.6,    33.3
Changi,2025,4,20,     6.6,     6.4,     6.6,     6.6,    27.6,    33.4,    25.4,     6.5,    27.8
Changi,2025,4,21,     0.4,     0.4,     0.4,     0.4,    27.8,    33.1,    25.1,     5.9,    31.5
Changi,2025,4,22,     0.0,     0.0,     0.0,     0.0,    28.8,    32.6,    26.1,     8.4,    31.5
Changi,2025,4,23,     0.2,     0.2,     0.2,     0.2,    27.9,    30.0,    25.9,     8.6,    29.6
Changi,2025,4,24,     0.2,     0.2,     0.2,     0.2,    28.2,    31.9,    26.0,     7.4,    20.4
Changi,2025,4,25,    27.2,    24.6,    25.2,    25.2,    28.5,    32.6,    24.4,     8.3,    29.6
Changi,2025,4,26,     0.0,     0.0,     0.0,     0.0,    28.0,    32.5,    26.0,    10.6,    35.2
Changi,2025,4,27,     0.0,     0.0,     0.0,     0.0,    28.6,    32.5,    25.4,     9.4,    27.8
Changi,2025,4,28,     0.0,     0.0,     0.0,     0.0,    28.4,    32.7,    26.4,     7.6,    40.7
Changi,2025,4,29,    27.4,    15.6,    16.4,    16.4,    27.6,    31.6,    23.5,     6.3,    35.2
Changi,2025,4,30,     0.0,     0.0,     0.0,     0.0,    29.0,    33.5,    26.1,     9.6,    25.9
