"",E Week19,"Cumulative first19Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,,2020 -2024,2020 -2024,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,1,0,0,33,12,12
Acute Hepatitis E,4,2,1,21,12,18
Campylobacteriosis,19,6,8,207,172,172
Cholera,0,0,0,2,0,0
Paratyphoid,0,0,0,8,11,7
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,35,21,23,441,455,455
Typhoid,1,0,0,20,19,22
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,1,0,9,4,4
Dengue Fever,106,323,323,1794,7112,7069
Dengue Haemorrhagic Fever,0,3,3,3,28,15
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,2,1,1,30,19,13
Malaria,0,0,0,10,7,4
Murine Typhus,5,6,0,45,23,4
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,0,0,4,6,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,1,0,0,17,7,7
Measles,2,0,0,10,7,5
Melioidosis,1,4,0,21,14,14
Meningococcal Disease,0,1,0,3,1,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,5,8,NA
Mumps,2,7,7,86,97,76
Pertussis,6,2,0,42,33,6
Pneumococcal Disease (Invasive),3,1,1,48,52,33
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,0,1,13,12,13
Acute Hepatitis C,2,0,0,18,6,6
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2711,2821,1708,,,NA
Acute Conjunctivitis,104,69,49,,,NA
Acute Diarrhoea,405,387,387,,,NA
Chickenpox,6,8,4,,,NA
"Hand, Foot And Mouth Disease",49,33,13,,NA,
HIV/STI/TB NOTIFICATIONS,2025,Apr,,Cumulative 2025,,
HIV/AIDS,15,,53,,,
Legally Notifiable STIs,253,,1081,,,
Tuberculosis,82,,328,,,
