"",E Week,23,,Cumulative first,23,Week
"",2025,2024,Median,2025,2024,Median
"",2020 -2024,2020 -2024,,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,2,1,0,40,16,15
Acute Hepatitis E,1,0,0,27,17,24
Campylobacteriosis,11,8,12,249,210,208
Cholera,0,0,0,2,0,0
Paratyphoid,1,1,0,10,13,7
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,21,28,28,538,630,574
Typhoid,3,2,0,24,24,25
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,1,0,0,10,5,5
Dengue Fever,115,332,332,2242,8334,8334
Dengue Haemorrhagic Fever,3,1,0,11,31,23
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,1,1,33,22,21
Malaria,0,0,0,12,9,7
Murine Typhus,1,2,1,51,28,4
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,1,0,0,6,7,1
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,1,0,0,19,10,9
Measles,0,0,0,11,8,6
Melioidosis,2,2,1,27,26,16
Meningococcal Disease,0,0,0,4,1,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
Mpox,0,0,NA,7,8,NA
Mumps,3,7,2,109,119,90
Pertussis,2,5,0,47,43,7
Pneumococcal Disease (Invasive),4,1,0,62,58,34
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,1,0,16,17,17
Acute Hepatitis C,1,1,0,17,7,7
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2338,2377,1744,,,NA
Acute Conjunctivitis,81,68,33,,,NA
Acute Diarrhoea,416,383,294,,,NA
Chickenpox,5,4,4,,,NA
"Hand, Foot And Mouth Disease",33,25,14,,,NA
HIV/STI/TB NOTIFICATIONS,2025,May,,Cumulative 2025,,
HIV/AIDS,9,,62,,,
Legally Notifiable STIs,318,,1399,,,
Tuberculosis,85,,411,,,
