"",E Week2,"Cumulative first2Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,2020 -2024,2020 -2024,,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,3,1,1,4,3,1
Acute Hepatitis E,2,3,3,2,4,4
Campylobacteriosis,13,10,10,27,23,24
Cholera,0,0,0,2,0,0
Paratyphoid,0,0,0,2,0,0
Poliomyelitis,0,0,0,0,0,0
Salmonellosis,22,23,23,48,44,44
Typhoid,2,0,1,2,1,2
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,0,0,0,1,0,0
Dengue Fever,119,394,278,216,699,557
Dengue Haemorrhagic Fever,0,0,0,0,0,0
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,0,0,0,3,0,0
Malaria,1,1,0,3,1,0
Murine Typhus,9,1,0,12,1,1
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,2,1,0,2,1,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,0,3,0,0,3,1
Measles,0,0,0,1,0,0
Melioidosis,3,1,0,4,1,1
Meningococcal Disease,0,0,0,0,0,0
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,0,0,NA
Mumps,5,8,7,5,10,10
Pertussis,4,3,0,7,4,1
Pneumococcal Disease (Invasive),11,3,3,13,7,5
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,0,1,1,1,2,1
Acute Hepatitis C,1,0,0,2,0,0
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2714,2491,2400,,,NA
Acute Conjunctivitis,101,80,65,,,NA
Acute Diarrhoea,416,364,364,,,NA
Chickenpox,3,11,7,,,NA
"Hand, Foot And Mouth Disease",22,12,12,,NA,
HIV/STI/TB NOTIFICATIONS,2024,Dec,,Cumulative 2024,,
HIV/AIDS,8,,137,,,
Legally Notifiable STIs,289,,3440,,,
Tuberculosis,108,,1162,,,
