"",E Week15,"Cumulative first15Week",,,,
"",2025,2024,Median,2025,2024,Median
"",,,2020 -2024,2020 -2024,,
FOOD/WATER-BORNE DISEASES,,,,,,
Acute Hepatitis A,3,0,0,25,10,10
Acute Hepatitis E,0,0,1,13,9,16
Campylobacteriosis,12,8,8,158,133,133
Cholera,0,0,0,2,0,0
Paratyphoid,0,1,1,8,7,5
Poliomyelitis,0,0,0,1,0,0
Salmonellosis,28,25,23,342,328,328
Typhoid,1,3,0,16,16,16
VECTOR-BORNE DISEASES,,,,,,
Chikungunya Fever,1,0,0,6,3,3
Dengue Fever,93,305,305,1399,5867,4705
Dengue Haemorrhagic Fever,0,2,1,3,21,9
Japanese Encephalitis,0,0,0,0,0,0
Leptospirosis,3,0,0,20,17,12
Malaria,0,0,0,10,5,3
Murine Typhus,1,0,0,36,13,3
Nipah Virus Infection,0,0,0,0,0,0
Plague,0,0,0,0,0,0
Yellow Fever,0,0,0,0,0,0
Zika Virus Infection,0,1,0,4,5,0
AIR/DROPLET-BORNE DISEASES,,,,,,
Avian Influenza,0,0,0,0,0,0
Diphtheria,0,0,0,0,0,0
Ebola Virus Disease,0,0,0,0,0,0
Haemophilus influenzae  type b,0,0,0,0,0,0
Legionellosis,1,0,0,14,7,5
Measles,0,1,0,7,4,3
Melioidosis,2,0,0,17,6,11
Meningococcal Disease,0,0,0,2,0,1
Middle East Respiratory Syndrome^,0,0,0,0,0,0
"#Mpox",0,0,NA,4,7,NA
Mumps,5,2,2,71,71,54
Pertussis,3,0,0,33,26,2
Pneumococcal Disease (Invasive),2,3,3,41,43,30
Rubella,0,0,0,0,0,0
Severe Acute Respiratory Syndrome,0,0,0,0,0,0
Tetanus,0,0,0,0,0,0
OTHER DISEASES,,,,,,
Acute Hepatitis B,1,0,1,12,8,10
Acute Hepatitis C,0,1,1,12,5,5
Botulism,0,0,0,0,0,0
POLYCLINIC ATTENDANCES - AVERAGE DAILY NUMBER,,,,,,
Acute Upper Respiratory Infections,2632,2293,1558,,,NA
Acute Conjunctivitis,91,67,43,,,NA
Acute Diarrhoea,453,410,388,,,NA
Chickenpox,4,6,5,,,NA
"Hand, Foot And Mouth Disease",43,26,8,,NA,
HIV/STI/TB NOTIFICATIONS,2025,Mar,,Cumulative 2025,,
HIV/AIDS,12,,38,,,
Legally Notifiable STIs,262,,828,,,
Tuberculosis,91,,247,,,
